Date,log_return,label
2025-07-23,-0.00778152614671157,0
2025-07-22,-0.0006373254110627613,0
2025-07-21,-0.0013981477220053051,0
2025-07-18,9.051821685268635e-05,1
2025-07-17,-0.005359433132147373,0
2025-07-16,-0.003188499806256573,0
2025-07-15,0.003964098180953002,1
2025-07-14,-0.0014064149836947593,0
2025-07-11,0.0033029779929130143,1
2025-07-10,-0.002742409872004359,0
2025-07-09,-0.0060438433346767795,0
2025-07-08,0.0007161495228000803,1
2025-07-07,0.007893349417233964,1
2025-07-03,-0.008304350113371939,0
2025-07-02,-0.004733849037258153,0
2025-07-01,0.0011190878184379471,1
2025-06-30,-0.005151077553744443,0
2025-06-27,-0.005205430912106124,0
2025-06-26,-0.00798815349977744,0
2025-06-25,3.2829024796399153e-06,1
2025-06-24,-0.011060286796933383,0
2025-06-23,-0.009560641855696161,0
2025-06-20,0.0021809894398643337,1
2025-06-18,0.0003092717177288762,1
2025-06-17,0.008387318295762114,1
2025-06-16,-0.009348881754855043,0
2025-06-13,0.01136074330540815,1
2025-06-12,-0.0038152107599636054,0
2025-06-11,0.002747689533666886,1
2025-06-10,-0.0054679833266551015,0
2025-06-09,-0.0009195219134294774,0
2025-06-06,-0.01022818611570031,0
2025-06-05,0.005291315280564035,1
2025-06-04,-7.369455953210036e-05,0
2025-06-03,-0.005783504036175557,0
2025-06-02,-0.004093651450133962,0
2025-05-30,8.119175975807025e-05,1
2025-05-29,-0.004003150916718212,0
2025-05-28,0.0055867628115837675,1
2025-05-27,-0.020252543913121812,0
2025-05-23,0.006730909417987263,1
2025-05-22,0.0004449532958030744,1
2025-05-21,0.016266702451147808,1
2025-05-20,0.003887754118519382,1
2025-05-19,-0.0008756935229854435,0
2025-05-16,-0.0069808987439632375,0
2025-05-15,-0.004123800988772075,0
2025-05-14,-0.0010238448046244741,0
2025-05-13,-0.0072220821737154495,0
2025-05-12,-0.032040014309449916,0
2025-05-09,0.000711772086374296,1
2025-05-08,-0.0057829933406665646,0
2025-05-07,-0.004337004125959609,0
2025-05-06,0.007723033885545405,1
2025-05-05,0.0064020400278312906,1
2025-05-02,-0.014619229243407972,0
2025-05-01,-0.006279331841724911,0
2025-04-30,-0.001478900779794401,0
2025-04-29,-0.005785627496395662,0
2025-04-28,-0.0006404944691347225,0
2025-04-25,-0.007346095426564503,0
2025-04-24,-0.02005659908960844,0
2025-04-23,-0.01652384547479535,0
2025-04-22,-0.024807034313980125,0
2025-04-21,0.023849649226388436,1
2025-04-17,-0.0013259586728278094,0
2025-04-16,0.02266331270099542,1
2025-04-15,0.0017292137684190578,1
2025-04-14,-0.007913254093152133,0
2025-04-11,-0.01793036925211311,0
2025-04-10,0.035220587845119056,1
2025-04-09,-0.09089490164871528,0
2025-04-08,0.01582508719681286,1
2025-04-07,0.002334179209082521,1
2025-04-04,0.06160907367588031,1
2025-04-03,0.04960587756339585,1
2025-04-02,-0.006705592339420363,0
2025-04-01,-0.0037741531622366153,0
2025-03-31,-0.005523212456949977,0
2025-03-28,0.019934580336265384,1
2025-03-27,0.003312437106650634,1
2025-03-26,0.01121969145510704,1
2025-03-25,-0.0015730819184724965,0
2025-03-24,-0.017492157944607456,0
2025-03-21,-0.0008243274123156397,0
2025-03-20,0.002187300773803358,1
2025-03-19,-0.010740629118979328,0
2025-03-18,0.010710674253909147,1
2025-03-17,-0.006395603934347349,0
2025-03-14,-0.02104291988140794,0
2025-03-13,0.013988405225353162,1
2025-03-12,-0.004874971275235396,0
2025-03-11,0.007596604935653062,1
2025-03-10,0.027343518375984033,1
2025-03-07,-0.005505404600508967,0
2025-03-06,0.017979700568309553,1
2025-03-05,-0.011097475685101443,0
2025-03-04,0.01231023460336722,1
2025-03-03,0.01775343937549323,1
2025-02-28,-0.01572975043189828,0
2025-02-27,0.015991702852089063,1
2025-02-26,-0.0001360051919139238,0
2025-02-25,0.004690715138396584,1
2025-02-24,0.004981513054854503,1
2025-02-21,0.01721137399126249,1
2025-02-20,0.004343623971148958,1
2025-02-19,-0.0023741775065797555,0
2025-02-18,-0.0024419717448793676,0
2025-02-14,7.195597605580417e-05,1
2025-02-13,-0.010372377459622939,0
2025-02-12,0.002727618689451816,1
2025-02-11,-0.0003395154850025506,0
2025-02-10,-0.006690160848149773,0
2025-02-07,0.00950991348210728,1
2025-02-06,-0.003637700027498525,0
2025-02-05,-0.0039010377290882303,0
2025-02-04,-0.007198897488333245,0
2025-02-03,0.007637696973120001,1
2025-01-31,0.005059581291424919,1
2025-01-30,-0.0052615707224354935,0
2025-01-29,0.004689853570095437,1
2025-01-28,-0.009175576254676798,0
2025-01-27,0.014687984883634542,1
2025-01-24,0.0028592607828965555,1
2025-01-23,-0.005299445097723066,0
2025-01-22,-0.0061192005774426406,0
