Date,Open,High,Low,Close
2025/8/19,6446.24,6456.48,6400.22,6411.37
2025/8/18,6445.02,6455.35,6437.7,6449.15
2025/8/15,6477.38,6481.34,6441.85,6449.8
2025/8/14,6453.46,6473.92,6441.07,6468.54
2025/8/13,6462.67,6480.28,6445.02,6466.58
2025/8/12,6395.17,6446.55,6385.76,6445.76
2025/8/11,6389.67,6407.25,6364.06,6373.45
2025/8/8,6355.22,6395.16,6355.22,6389.45
2025/8/7,6374.32,6389.71,6310.32,6340
2025/8/6,6309.3,6352.83,6301.11,6345.06
2025/8/5,6336.63,6346,6289.37,6299.19
2025/8/4,6271.71,6330.69,6271.71,6329.94
2025/8/1,6287.28,6287.28,6212.69,6238.01
2025/7/31,6427.02,6427.02,6327.64,6339.39
2025/7/30,6381.23,6396.54,6336.38,6362.9
2025/7/29,6405.62,6409.26,6363.92,6370.86
2025/7/28,6397.69,6401.07,6375.79,6389.77
2025/7/25,6370.01,6395.82,6368.53,6388.64
2025/7/24,6368.6,6381.31,6360.57,6363.35
2025/7/23,6326.9,6360.64,6317.49,6358.91
2025/7/22,6306.6,6316.12,6281.71,6309.62
2025/7/21,6304.74,6336.08,6303.79,6305.6
2025/7/18,6312.95,6315.61,6285.27,6296.79
2025/7/17,6263.4,6304.69,6262.27,6297.36
2025/7/16,6254.5,6268.12,6201.59,6263.7
2025/7/15,6295.29,6302.04,6241.68,6243.76
2025/7/14,6255.15,6273.31,6239.22,6268.56
2025/7/11,6255.68,6269.44,6237.6,6259.75
2025/7/10,6266.8,6290.22,6251.44,6280.46
2025/7/9,6243.33,6269.16,6231.43,6263.26
2025/7/8,6234.03,6242.7,6217.75,6225.52
2025/7/7,6259.04,6262.07,6201,6229.98
2025/7/3,6246.46,6284.65,6246.46,6279.35
2025/7/2,6193.88,6227.6,6188.29,6227.42
2025/7/1,6187.25,6210.78,6177.97,6198.01
2025/6/30,6193.36,6215.08,6174.97,6204.95
2025/6/27,6150.7,6187.68,6132.35,6173.07
2025/6/26,6112.09,6146.52,6107.27,6141.02
2025/6/25,6104.23,6108.51,6080.09,6092.16
2025/6/24,6061.21,6101.76,6059.25,6092.18
2025/6/23,5969.67,6028.77,5943.23,6025.17
2025/6/20,5999.67,6018.2,5952.56,5967.84
2025/6/18,5987.93,6018.25,5971.89,5980.87
2025/6/17,6012.15,6023.25,5974.8,5982.72
2025/6/16,6004,6050.83,6004,6033.11
2025/6/13,6000.56,6026.16,5963.21,5976.97
2025/6/12,6009.9,6045.43,6003.88,6045.26
2025/6/11,6049.38,6059.4,6002.32,6022.24
2025/6/10,6009.91,6043.01,6000.28,6038.81
2025/6/9,6004.63,6021.31,5994.18,6005.88
2025/6/6,5987.06,6016.87,5978.63,6000.36
2025/6/5,5985.67,5999.7,5921.2,5939.3
2025/6/4,5978.94,5990.48,5966.11,5970.81
2025/6/3,5938.56,5981.35,5929,5970.37
2025/6/2,5896.68,5937.4,5861.43,5935.94
2025/5/30,5903.67,5922.14,5843.66,5911.69
2025/5/29,5939.96,5943.13,5873.8,5912.17
2025/5/28,5925.54,5939.92,5881.88,5888.55
2025/5/27,5854.07,5924.33,5854.07,5921.54
2025/5/23,5781.89,5829.51,5767.41,5802.82
2025/5/22,5841.26,5878.08,5825.82,5842.01
2025/5/21,5910.18,5938.37,5830.91,5844.61
2025/5/20,5944.66,5953.06,5909.26,5940.46
2025/5/19,5902.88,5968.61,5895.69,5963.6
2025/5/16,5929.09,5958.62,5907.36,5958.38
2025/5/15,5869.82,5924.21,5865.16,5916.93
2025/5/14,5896.74,5906.55,5872.11,5892.58
2025/5/13,5854.15,5906.64,5845.02,5886.55
2025/5/12,5807.2,5845.37,5786.08,5844.19
2025/5/9,5679.65,5691.69,5644.15,5659.91
2025/5/8,5663.6,5720.1,5635.38,5663.94
2025/5/7,5614.18,5654.73,5578.64,5631.28
2025/5/6,5605.87,5649.58,5586.04,5606.91
2025/5/5,5655.32,5683.38,5634.48,5650.38
2025/5/2,5645.88,5700.7,5642.28,5686.67
2025/5/1,5625.14,5658.91,5597.35,5604.14
2025/4/30,5499.44,5581.84,5433.24,5569.06
2025/4/29,5508.87,5571.95,5505.7,5560.83
2025/4/28,5529.22,5553.66,5468.64,5528.75
2025/4/25,5489.73,5528.11,5455.86,5525.21
2025/4/24,5381.38,5489.4,5371.96,5484.77
2025/4/23,5395.92,5469.69,5356.17,5375.86
2025/4/22,5207.67,5309.61,5207.67,5287.76
2025/4/21,5232.94,5232.94,5101.63,5158.2
2025/4/17,5305.45,5328.31,5255.58,5282.7
2025/4/16,5335.75,5367.24,5220.79,5275.7
2025/4/15,5411.99,5450.41,5386.44,5396.63
2025/4/14,5441.96,5459.46,5358.02,5405.97
2025/4/11,5255.56,5381.46,5220.77,5363.36
2025/4/10,5353.15,5353.15,5115.27,5268.05
2025/4/9,4965.28,5481.34,4948.43,5456.9
2025/4/8,5193.57,5267.47,4910.42,4982.77
2025/4/7,4953.79,5246.57,4835.04,5062.25
2025/4/4,5292.14,5292.14,5069.9,5074.08
2025/4/3,5492.74,5499.53,5390.83,5396.52
2025/4/2,5580.76,5695.31,5571.48,5670.97
2025/4/1,5597.53,5650.57,5558.52,5633.07
2025/3/31,5527.91,5627.56,5488.73,5611.85
2025/3/28,5679.2,5685.89,5572.42,5580.94
2025/3/27,5695.64,5732.28,5670.94,5693.31
2025/3/26,5771.66,5783.62,5694.41,5712.2
2025/3/25,5775.96,5786.95,5760.42,5776.65
2025/3/24,5718.08,5775.14,5718.08,5767.57
2025/3/21,5630.73,5670.84,5603.1,5667.56
2025/3/20,5646.92,5711.15,5632.33,5662.89
2025/3/19,5632.37,5715.33,5622.2,5675.29
2025/3/18,5654.53,5654.53,5597.76,5614.66
2025/3/17,5635.6,5703.52,5631.12,5675.12
2025/3/14,5563.85,5645.27,5563.85,5638.94
2025/3/13,5594.45,5597.78,5504.65,5521.52
2025/3/12,5624.84,5642.19,5546.09,5599.3
2025/3/11,5603.65,5636.3,5528.41,5572.07
2025/3/10,5705.37,5705.37,5564.02,5614.56
2025/3/7,5726.01,5783.01,5666.29,5770.2
2025/3/6,5785.87,5812.08,5711.64,5738.52
2025/3/5,5781.36,5860.59,5742.35,5842.63
2025/3/4,5811.98,5865.08,5732.59,5778.15
2025/3/3,5968.33,5986.09,5810.91,5849.72
2025/2/28,5856.74,5959.4,5837.66,5954.5
2025/2/27,5981.88,5993.69,5858.78,5861.57
2025/2/26,5970.87,6009.82,5932.69,5956.06
2025/2/25,5982.73,5992.65,5908.49,5955.25
2025/2/24,6026.69,6043.65,5977.83,5983.25
2025/2/21,6114.1,6114.82,6008.56,6013.13
2025/2/20,6134.5,6134.5,6084.59,6117.52
2025/2/19,6117.76,6147.43,6111.15,6144.15
2025/2/18,6121.6,6129.63,6099.51,6129.58
2025/2/14,6115.52,6127.47,6107.62,6114.63
2025/2/13,6060.59,6116.91,6050.95,6115.07
2025/2/12,6025.08,6063,6003,6051.97
2025/2/11,6049.32,6076.28,6042.34,6068.5
2025/2/10,6046.4,6073.38,6044.84,6066.44
2025/2/7,6083.13,6101.28,6019.96,6025.99
2025/2/6,6072.22,6084.03,6046.83,6083.57
2025/2/5,6020.45,6062.86,6007.06,6061.48
2025/2/4,5998.14,6042.48,5990.87,6037.88
2025/2/3,5969.65,6022.13,5923.93,5994.57
2025/1/31,6096.79,6120.91,6030.93,6040.53
2025/1/30,6050.75,6086.64,6027.46,6071.17
2025/1/29,6057.7,6062.83,6012.96,6039.31
2025/1/28,6026.97,6074.54,5994.63,6067.7
2025/1/27,5969.04,6017.17,5962.92,6012.28
2025/1/24,6121.43,6128.18,6088.74,6101.24
2025/1/23,6076.32,6118.73,6074.67,6118.71
2025/1/22,6081.39,6100.81,6076.13,6086.37
2025/1/21,6014.12,6051.51,6006.88,6049.24
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
